TopLeftLat,TopLeftLon,BottomRightLat,BottomRightLon,WeightPrice,WeightSqr,Price,PriceSqr,Hits,PointsForSqrPriceInterval,PointsForPriceInterval,PointsForZoom,PointsForDays,PointsForHits,PointsForDistance,SumPointsPrice,SumPointsSqr
59.413335,18.178950999999937,59.411334999999994,18.183950999999936,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.183950999999936,59.411334999999994,18.188950999999935,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.188950999999935,59.411334999999994,18.193950999999934,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.868951,59.40933499999999,17.873950999999998,1,1,2270000,44000,23,35,30,-60,-5,20,20,5,10
59.411334999999994,17.873950999999998,59.40933499999999,17.878950999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.878950999999997,59.40933499999999,17.883950999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.883950999999996,59.40933499999999,17.888950999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.888950999999995,59.40933499999999,17.893950999999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.893950999999994,59.40933499999999,17.898950999999993,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.898950999999993,59.40933499999999,17.903950999999992,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.903950999999992,59.40933499999999,17.90895099999999,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.90895099999999,59.40933499999999,17.91395099999999,1,1,1910000,37000,8,25,35,-60,-5,10,20,0,-10
59.411334999999994,17.91395099999999,59.40933499999999,17.91895099999999,4,4,1960000,37000,10,30,35,0,-5,20,20,70,65
59.411334999999994,17.91895099999999,59.40933499999999,17.923950999999988,1,1,1830000,33000,22,25,25,-60,-5,20,20,0,0
59.411334999999994,17.923950999999988,59.40933499999999,17.928950999999987,1,1,1750000,31000,30,25,30,-60,-5,20,20,5,0
59.411334999999994,17.928950999999987,59.40933499999999,17.933950999999986,1,1,1750000,31000,17,25,35,-60,-5,20,20,10,0
59.411334999999994,17.933950999999986,59.40933499999999,17.938950999999985,1,1,2340000,43000,30,30,35,-60,-5,20,20,10,5
59.411334999999994,17.938950999999985,59.40933499999999,17.943950999999984,1,1,2340000,43000,30,30,35,-60,-5,20,20,10,5
59.411334999999994,17.943950999999984,59.40933499999999,17.948950999999983,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.948950999999983,59.40933499999999,17.953950999999982,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.953950999999982,59.40933499999999,17.95895099999998,1,1,2540000,48000,5,15,-15,-60,-5,10,20,-50,-20
59.411334999999994,17.95895099999998,59.40933499999999,17.96395099999998,4,4,2220000,36000,12,35,35,0,-5,20,20,70,70
59.411334999999994,17.96395099999998,59.40933499999999,17.96895099999998,3,3,2220000,38000,19,25,25,0,-5,20,20,60,60
59.411334999999994,17.96895099999998,59.40933499999999,17.97395099999998,1,1,2340000,40000,16,10,5,-60,-5,20,20,-20,-15
59.411334999999994,17.97395099999998,59.40933499999999,17.978950999999977,1,1,2710000,52000,3,40,15,-60,-5,0,20,-30,-5
59.411334999999994,17.978950999999977,59.40933499999999,17.983950999999976,1,1,2370000,51000,2,40,40,-60,-5,-40,20,-45,-45
59.411334999999994,17.983950999999976,59.40933499999999,17.988950999999975,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.988950999999975,59.40933499999999,17.993950999999974,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.993950999999974,59.40933499999999,17.998950999999973,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,17.998950999999973,59.40933499999999,18.003950999999972,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.003950999999972,59.40933499999999,18.00895099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.00895099999997,59.40933499999999,18.01395099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.01395099999997,59.40933499999999,18.01895099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.01895099999997,59.40933499999999,18.02395099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.02395099999997,59.40933499999999,18.028950999999967,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.028950999999967,59.40933499999999,18.033950999999966,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.033950999999966,59.40933499999999,18.038950999999965,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.038950999999965,59.40933499999999,18.043950999999964,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.043950999999964,59.40933499999999,18.048950999999963,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.048950999999963,59.40933499999999,18.053950999999962,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.053950999999962,59.40933499999999,18.05895099999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.05895099999996,59.40933499999999,18.06395099999996,1,1,2870000,49000,2,15,15,-60,-5,-40,20,-70,-70
59.411334999999994,18.06395099999996,59.40933499999999,18.06895099999996,1,1,2870000,49000,2,15,15,-60,-5,-40,20,-70,-70
59.411334999999994,18.06895099999996,59.40933499999999,18.07395099999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.07395099999996,59.40933499999999,18.078950999999957,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.078950999999957,59.40933499999999,18.083950999999956,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.083950999999956,59.40933499999999,18.088950999999955,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.088950999999955,59.40933499999999,18.093950999999954,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.093950999999954,59.40933499999999,18.098950999999953,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.098950999999953,59.40933499999999,18.103950999999952,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.103950999999952,59.40933499999999,18.10895099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.10895099999995,59.40933499999999,18.11395099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.11395099999995,59.40933499999999,18.11895099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.11895099999995,59.40933499999999,18.12395099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.12395099999995,59.40933499999999,18.128950999999947,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.128950999999947,59.40933499999999,18.133950999999946,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.133950999999946,59.40933499999999,18.138950999999945,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.138950999999945,59.40933499999999,18.143950999999944,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.143950999999944,59.40933499999999,18.148950999999943,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.148950999999943,59.40933499999999,18.153950999999942,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.153950999999942,59.40933499999999,18.15895099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.15895099999994,59.40933499999999,18.16395099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.16395099999994,59.40933499999999,18.16895099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.16895099999994,59.40933499999999,18.17395099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.17395099999994,59.40933499999999,18.178950999999937,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.178950999999937,59.40933499999999,18.183950999999936,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.183950999999936,59.40933499999999,18.188950999999935,0,0,0,0,0,0,0,0,0,0,0,0,0
59.411334999999994,18.188950999999935,59.40933499999999,18.193950999999934,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.868951,59.40733499999999,17.873950999999998,1,1,2110000,40000,2,30,30,-60,-5,-40,20,-55,-55
59.40933499999999,17.873950999999998,59.40733499999999,17.878950999999997,1,1,2110000,40000,2,30,30,-60,-5,-40,20,-55,-55
59.40933499999999,17.878950999999997,59.40733499999999,17.883950999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.883950999999996,59.40733499999999,17.888950999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.888950999999995,59.40733499999999,17.893950999999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.893950999999994,59.40733499999999,17.898950999999993,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.898950999999993,59.40733499999999,17.903950999999992,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.903950999999992,59.40733499999999,17.90895099999999,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.90895099999999,59.40733499999999,17.91395099999999,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.91395099999999,59.40733499999999,17.91895099999999,1,1,2020000,35000,2,25,25,-60,-5,-40,20,-60,-60
59.40933499999999,17.91895099999999,59.40733499999999,17.923950999999988,1,1,2020000,35000,2,25,25,-60,-5,-40,20,-60,-60
59.40933499999999,17.923950999999988,59.40733499999999,17.928950999999987,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.928950999999987,59.40733499999999,17.933950999999986,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.933950999999986,59.40733499999999,17.938950999999985,4,4,2430000,44000,17,35,35,0,-5,20,20,70,70
59.40933499999999,17.938950999999985,59.40733499999999,17.943950999999984,4,4,2240000,41000,10,35,35,0,-5,20,20,70,70
59.40933499999999,17.943950999999984,59.40733499999999,17.948950999999983,1,1,2450000,44000,12,15,15,-60,-5,20,20,-10,-10
59.40933499999999,17.948950999999983,59.40733499999999,17.953950999999982,1,1,2390000,44000,6,-5,15,-60,-5,10,20,-20,-40
59.40933499999999,17.953950999999982,59.40733499999999,17.95895099999998,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.95895099999998,59.40733499999999,17.96395099999998,1,1,2270000,35000,4,30,30,-60,-5,0,20,-15,-15
